fold,mode,total_trades,winning_trades,losing_trades,win_rate,total_pnl,total_return_pct,avg_win,avg_loss,largest_win,largest_loss,current_capital,peak_capital,current_drawdown,open_positions,start_time,end_time
0,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:00.394740,2026-02-19 16:15:00.394775
0,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:01.684834,2026-02-19 16:15:01.684842
1,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:01.932499,2026-02-19 16:15:01.932502
1,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:02.209197,2026-02-19 16:15:02.209203
2,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:02.453065,2026-02-19 16:15:02.453069
2,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:02.738022,2026-02-19 16:15:02.738026
3,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:02.967990,2026-02-19 16:15:02.967994
3,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:03.404792,2026-02-19 16:15:03.404798
4,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:03.647782,2026-02-19 16:15:03.647786
4,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:03.910871,2026-02-19 16:15:03.910875
5,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:04.199631,2026-02-19 16:15:04.199639
5,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:04.477013,2026-02-19 16:15:04.477017
6,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:04.711288,2026-02-19 16:15:04.711292
6,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:04.974622,2026-02-19 16:15:04.974626
7,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:05.216326,2026-02-19 16:15:05.216334
7,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:05.494637,2026-02-19 16:15:05.494642
8,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:05.898361,2026-02-19 16:15:05.898365
8,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:06.161533,2026-02-19 16:15:06.161537
9,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:06.394469,2026-02-19 16:15:06.394473
9,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:06.677984,2026-02-19 16:15:06.677987
10,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:06.902921,2026-02-19 16:15:06.902925
10,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:07.201583,2026-02-19 16:15:07.201588
11,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:07.451793,2026-02-19 16:15:07.451798
11,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:07.865914,2026-02-19 16:15:07.865920
12,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:08.117706,2026-02-19 16:15:08.117710
12,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:08.516628,2026-02-19 16:15:08.516636
13,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:08.878440,2026-02-19 16:15:08.878448
13,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:09.440935,2026-02-19 16:15:09.440939
14,rule,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:09.704649,2026-02-19 16:15:09.704653
14,ml,0,0,0,0,0,0.0,0,0,0,0,500.0,500.0,0.0,0,2026-02-15 12:15:10.100374,2026-02-19 16:15:10.100378
